Fold 0 2021_01,Train,Test
Error,21833,31064
Loss,9173.208128061846,2644.5006724440614
Fold 1 2021_02,Train,Test
Error,29216,19985
Loss,10544.532487828923,1020.3068160419917
Fold 2 2021_03,Train,Test
Error,20686,31204
Loss,9506.496105694881,2290.9412879358856
Fold 3 2021_04,Train,Test
Error,19970,35503
Loss,6898.378405645169,5522.273823740309
Fold 4 2021_05,Train,Test
Error,24816,8909
Loss,11017.48234053477,461.8394331659654
Fold 5 2021_06,Train,Test
Error,29570,25845
Loss,7609.808465755661,4455.788885324874
