Fold 0 2021_01,Train,Test,,M1,M2,M3,M4,M5,M6
Error,21835,31066,Train,21835,29288,22004,20331,23287,26633
Loss,9173.207996,2644.871888,Test,31066,20057,29886,35142,9092,23048
Fold 1 2021_02,Train,Test,,,,,,,
Error,29288,20057,,,,,,,
Loss,10544.67374,1026.25666,,,,,,,
Fold 2 2021_03,Train,Test,,,,,,,
Error,22004,29886,,,,,,,
Loss,9531.669356,2103.729995,,,,,,,
Fold 3 2021_04,Train,Test,,,,,,,
Error,20331,35142,,,,,,,
Loss,6916.323558,5295.645428,,,,,,,
Fold 4 2021_05,Train,Test,,,,,,,
Error,23287,9092,,,,,,,
Loss,11050.89569,555.0326655,,,,,,,
Fold 5 2021_06,Train,Test,,,,,,,
Error,26633,23048,,,,,,,
Loss,7878.951026,3596.501879,,,,,,,
